sep=;
Object;DCN;Description;Design Responsible;KOLA Time;Status;Fact No Time;Product Class;LinkID;Function Group;Suffix;Context;Usage;Partno;Part issue;Qty;Amount;UoM;Name;Variants;Added;Deleted;Parttype;Module;Safety Part;Direction;Old LinkID;New Link ID;AssyMark;AssyMark Fact
22-00382;K1589971;"PC23: CLEAN UP VARIANT TOWT112";03778;202421;Approved;'27;=T("23");533896;9227;01;3;2;22840453;P04;00001;     ;001;TOWING MEMBER;TMPF60,FIL-FBEF,TOWT112,TOWMBRH;K1409097;K1589971;K;045-015-010;N;;;;;
22-00382;K1589971;"PC23: CLEAN UP VARIANT TOWT112";03778;202421;Approved;'27;=T("23");533897;9227;01;3;2;22840453;P04;00001;     ;001;TOWING MEMBER;TMPF60,FIL-EEEF,TOWT112,TOWMBRH;K1409097;K1589971;K;045-015-010;N;;;;;
22-00382;K1589971;"PC23: CLEAN UP VARIANT TOWT112";03778;202421;Approved;'27;=T("23");533898;9227;01;3;2;22840453;P04;00001;     ;001;TOWING MEMBER;TMPF60,FIL-FFEF,TOWT112,TOWMBRH;K1409097;K1589971;K;045-015-010;N;;;;;
25-00518;K1600894;"SW : TEA2P ; SRS3 ; T2 ; NTP ; PC23";02602;202409;Introduced;;=T("23");710223;8847;01;50;1;24499752; 01;00000;     ;;NODE TEMPLATE;AIRBAG;K1598807;K1600894;8;021-080-   ;;;;;;
25-00518;K1600894;"SW : TEA2P ; SRS3 ; T2 ; NTP ; PC23";02602;202409;Introduced;;=T("23");712182;8847;01;50;1;24563208; 01;00000;     ;;NODE TEMPLATE;AIRBAG;K1600894;K1625267;8;021-080-   ;;;;;;
25-00603;K1615641;"PC23: KM8X8 : CENTER PNEUMATIC PART LINKS CORRECTION";00692;202409;Introduced;'27;=T("23");733221;4689;03;2;1;980831;P08;00001;02500;004;TUBE;RAA22,FAA22,PDC-OFR;K1615641;K1616241;D;015-050-020;;;;;;
25-00603;K1615641;"PC23: KM8X8 : CENTER PNEUMATIC PART LINKS CORRECTION";00692;202409;Introduced;'27;=T("23");733222;4689;03;4;1;980831;P08;00001;01720;004;TUBE;RAA22,FAA22,PDC-OFR;K1615641;K1616241;D;015-050-020;;;;;;
25-00603;K1615641;"PC23: KM8X8 : CENTER PNEUMATIC PART LINKS CORRECTION";00692;202409;Introduced;'27;=T("23");733223;4689;03;4;1;980831;P08;00001;02280;004;TUBE;RAA22,FAA22,PDC-OFR;K1615641;K1616241;D;015-050-020;;;;;;
25-00603;K1615641;"PC23: KM8X8 : CENTER PNEUMATIC PART LINKS CORRECTION";00692;202409;Introduced;'27;=T("23");651170;4689;03;2;1;980831;P08;00001;03000;004;TUBE;RAA22,FAA22,PDC-OFR;K1566710;K1615641;D;015-050-020;;;;;;
25-00603;K1615641;"PC23: KM8X8 : CENTER PNEUMATIC PART LINKS CORRECTION";00692;202409;Introduced;'27;=T("23");651171;4689;03;4;1;980831;P08;00001;02000;004;TUBE;RAA22,FAA22,PDC-OFR;K1566710;K1615641;D;015-050-020;;;;;;
25-00603;K1615641;"PC23: KM8X8 : CENTER PNEUMATIC PART LINKS CORRECTION";00692;202409;Introduced;'27;=T("23");651172;4689;03;4;1;980831;P08;00001;02000;004;TUBE;RAA22,FAA22,PDC-OFR;K1566710;K1615641;D;015-050-020;;;;;;
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");745991;3759;05;1;1;24107970;P03;00001;     ;001;WIRES;EL-GEN2B,HWSS-CW,VQX-U1X;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");745992;3759;05;1;1;24107970;P03;00001;     ;001;WIRES;EL-GEN2B,HWSS-FCB,VQX-U1X;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");745993;3759;05;1;1;24107970;P03;00001;     ;001;WIRES;EL-GEN2B,HWSS-ACB,VQX-U1X;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");745994;3759;05;1;1;24107970;P03;00001;     ;001;WIRES;EL-GEN2B,UHWSS,VQX-U1X,LSS-DW;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734291;3754;04;1;1;24364165;P02;00001;     ;001;WIRES;STWPOS-R,ADR2,EL-GEN2B,VQX-U1X;K1615926;K1634530;D;020-095-005;N;;;785785;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734292;3754;04;1;1;24364165;P02;00001;     ;001;WIRES;STWPOS-R,ADR1,EL-GEN2B,VQX-U1X;K1615926;K1634530;D;020-095-005;N;;;785789;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734293;3754;04;1;1;24364159;P02;00001;     ;001;WIRES;STWPOS-R,UADR,EL-GEN2B,VQX-U1X;K1615926;K1634530;D;020-095-005;N;;;785776;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734294;3754;04;1;1;24189036;P04;00001;     ;001;WIRES;STWPOS-R,EL-GEN2B,PHONE-PK,URTOLL,VQX-U1X;K1615926;K1634530;D;020-095-005;N;;;785769;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734295;3754;04;1;1;24189053;P03;00001;     ;001;WIRES;STWPOS-R,EL-GEN2B,VQX-U1X;K1615926;K1634530;D;020-095-005;N;;;785794;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734286;3754;04;1;1;24364014;P02;00001;     ;001;WIRES;STWPOS-L,ADR2,EL-GEN2B,VQX-U1X;K1615926;K1634523;D;020-095-005;N;;;785269;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734287;3754;04;1;1;24364014;P02;00001;     ;001;WIRES;STWPOS-L,ADR1,EL-GEN2B,VQX-U1X;K1615926;K1634523;D;020-095-005;N;;;785273;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734288;3754;04;1;1;24364005;P02;00001;     ;001;WIRES;STWPOS-L,UADR,EL-GEN2B,VQX-U1X;K1615926;K1634523;D;020-095-005;N;;;785264;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734289;3754;04;1;1;24018811;P04;00001;     ;001;WIRES;STWPOS-L,EL-GEN2B,PHONE-PK,URTOLL,VQX-U1X;K1615926;K1635341;D;020-095-005;N;;;785280;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734290;3754;04;1;1;24018943;P03;00001;     ;001;WIRES;STWPOS-L,EL-GEN2B,VQX-U1X;K1615926;K1634523;D;020-095-005;N;;;785285;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");742612;3751;14;1;2;24684682;P01;00001;     ;001;WIRES;STWPOS-L,EL-GEN2B,VQX-U1X;K1615926;        ;D;020-090-012;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");742613;3751;14;1;3;24684683;P01;00001;     ;001;WIRES;STWPOS-R,EL-GEN2B,VQX-U1X;K1615926;        ;D;020-090-012;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734299;3754;04;1;4;994363;P01;00001;     ;001;RETAINER;VQX-U1X;K1615926;        ;D;020-095-005;;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734296;3754;04;1;3;24019142;P04;00001;     ;001;CABLE;STWPOS-L,EL-GEN2B,VQX-U1X;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734297;3754;04;1;3;24189086;P04;00001;     ;001;CABLE;STWPOS-R,EL-GEN2B,VQX-U1X;K1615926;        ;D;020-095-005;N;;;;=T("81");=T("22")
51-00783;K1615926;"PC 23 CABLE - INSTRUMENT PANEL / ROOF - VQX-U1X";00652;202405;Introduced;;=T("23");734298;3754;04;1;4;996016;P03;00001;     ;001;RETAINER;VQX-U1X;K1615926;        ;D;020-095-005;;;;;=T("81");=T("22")
